ID,area_type,availability,location,size,total_sqft,bath,balcony,price,total_sqft_category,dist_from_city,avg_2bhk_rent,dist_from_city_cat
1615,Super built-up  Area,Ready To Move,Hosa Road,2 BHK,1100,2,2.0,37.1,5,15.7,2283.0,5
1616,Built-up  Area,Ready To Move,Kothannur,3 BHK,1300,2,0.0,60.0,5,11.8,15465.0,4
1617,Plot  Area,Ready To Move,Chikkabanavar,3 BHK,1600,2,0.0,80.0,5,19.7,15867.0,5
1618,Built-up  Area,Ready To Move,Ramamurthy Nagar,3 BHK,1600,3,2.0,75.0,5,11.7,14647.0,4
1619,Super built-up  Area,19-Mar,Hennur Road,3 BHK,1482,2,1.0,92.0,5,14.4,15867.0,5
1620,Plot  Area,18-May,Marsur,3 BHK,1000,4,3.0,66.0,4,27.5,9890.0,6
1621,Super built-up  Area,Ready To Move,Shampura,2 BHK,1200,2,3.0,53.0,5,9.5,15465.0,4
1622,Plot  Area,Ready To Move,Gubbalala,3 BHK,600,3,2.0,75.0,4,15.4,15867.0,5
1623,Super built-up  Area,Ready To Move,Kengeri,2 BHK,1200,2,0.0,58.0,5,22.5,12000.0,6
1624,Plot  Area,Ready To Move,Kereguddadahalli,6 BHK,600,4,0.0,60.0,4,19.4,15867.0,5
1625,Built-up  Area,Ready To Move,Nagarbhavi,3 BHK,2400,3,0.0,160.0,5,17.0,16334.0,5
1626,Super built-up  Area,19-Dec,Marathahalli,3 BHK,1469,3,1.0,89.0,5,10.9,16620.0,4
1627,Super built-up  Area,22-Mar,Kanakapura,1 BHK,551,1,1.0,30.0,4,47.7,22000.0,7
1628,Super built-up  Area,19-Dec,Electronics City Phase 1,2 BHK,1160,2,1.0,52.0,5,20.3,11184.0,6
1629,Super built-up  Area,Ready To Move,Balagere,2 BHK,1205,2,1.0,78.5,5,16.1,15867.0,5
1630,Built-up  Area,Ready To Move,Kasavanhalli,3 BHK,1550,2,3.0,52.0,5,15.0,15867.0,5
1631,Super built-up  Area,Ready To Move,Gubbalala,3 BHK,1745,3,2.0,125.0,5,15.4,15867.0,5
1632,Super built-up  Area,Ready To Move,AECS Layout,2 BHK,1028,2,1.0,42.0,5,13.8,15867.0,5
1633,Super built-up  Area,Ready To Move,Frazer Town,3 BHK,1700,3,1.0,180.0,5,4.0,22500.0,2
1634,Super built-up  Area,Ready To Move,Karuna Nagar,3 BHK,1200,2,1.0,34.0,5,20.1,11184.0,6
1635,Super built-up  Area,Ready To Move,Kodihalli,3 BHK,2700,4,1.0,270.0,5,6.1,17994.0,3
1636,Built-up  Area,Ready To Move,Kallumantapa,2 BHK,1100,2,2.0,50.0,5,9.4,15465.0,4
1637,Plot  Area,Ready To Move,Ramamurthy Nagar,2 BHK,1200,3,1.0,72.0,5,11.7,14647.0,4
1638,Super built-up  Area,Ready To Move,Kaverappa Layout,2 BHK,1270,2,2.0,68.0,5,13.8,15867.0,5
1639,Super built-up  Area,Ready To Move,Electronic City Phase II,2 BHK,1266,2,2.0,59.0,5,19.3,11500.0,5
1640,Super built-up  Area,Ready To Move,Mysore Road,2 BHK,1060,2,1.0,62.0,5,28.6,11184.0,6
1641,Plot  Area,Ready To Move,Malimakanapura,3 BHK,1168,3,0.0,70.0,5,15.179954252443338,15867.0,5
1642,Super built-up  Area,Ready To Move,Medahalli,2 BHK,1552,2,1.0,51.0,5,14.7,12333.0,5
1643,Super built-up  Area,18-May,Talaghattapura,3 BHK,2038,3,0.0,120.0,5,17.1,21711.0,5
1644,Super built-up  Area,Ready To Move,Attibele,1 BHK,500,1,1.0,17.0,3,31.8,7500.0,7
1645,Super built-up  Area,Ready To Move,Hulimavu,2 BHK,1080,2,2.0,43.2,5,15.0,11000.0,5
1646,Plot  Area,Ready To Move,Kattigenahalli,4 BHK,2100,4,2.0,155.0,5,21.0,11184.0,6
1647,Super built-up  Area,Ready To Move,Rustam Bagh Layout,2 BHK,1300,2,2.0,65.0,5,7.0,17994.0,3
1648,Built-up  Area,Ready To Move,Electronics City Phase 1,2 BHK,920,2,2.0,33.0,4,20.3,11184.0,6
1649,Plot  Area,Ready To Move,New Thippasandra,4 BHK,817,2,1.0,120.0,4,7.1,16000.0,3
1650,Built-up  Area,Ready To Move,Harlur,2 BHK,1310,2,1.0,50.0,5,16.1,22500.0,5
1651,Super built-up  Area,Ready To Move,Horamavu Agara,3 BHK,1650,2,1.0,75.0,5,12.2,15465.0,4
1652,Super built-up  Area,Ready To Move,Garden Layout,3 BHK,1515,3,3.0,93.93,5,15.179954252443338,15867.0,5
1653,Super built-up  Area,18-Dec,Raja Rajeshwari Nagar,2 BHK,1157,2,1.0,53.8,5,15.3,15867.0,5
1654,Super built-up  Area,Ready To Move,Viswapriyanagar.begur Road.bommanahalli.,4 BHK,2400,5,1.0,85.0,5,15.179954252443338,15867.0,5
1655,Super built-up  Area,Ready To Move,Konanakunte,4 BHK,3000,4,3.0,160.0,5,13.8,12500.0,5
1656,Super built-up  Area,Ready To Move,Basavangudi,3 BHK,2200,2,1.0,162.0,5,7.1,17994.0,3
1657,Built-up  Area,19-Dec,"Hoodi Circle, ",2 BHK,1243,2,1.0,58.0,5,13.5,15867.0,5
1658,Super built-up  Area,Ready To Move,Rachenahalli,3 BHK,1530,2,2.0,74.39,5,13.0,15465.0,4
1659,Super built-up  Area,Ready To Move,Judicial Layout,3 BHK,2070,3,3.0,162.0,5,16.3,15867.0,5
1660,Built-up  Area,Ready To Move,Yelahanka,3 BHK,1815,3,2.0,82.0,5,20.8,8500.0,6
1661,Super built-up  Area,Ready To Move,Sarjapur  Road,4 BHK,3900,4,3.0,300.0,5,17.2,15867.0,5
1662,Super built-up  Area,18-Aug,Electronic City Phase II,2 BHK,1000,2,1.0,28.88,4,19.3,11500.0,5
1663,Super built-up  Area,18-May,Ananth Nagar,2 BHK,982,2,2.0,24.55,4,21.6,11184.0,6
1664,Super built-up  Area,Ready To Move,Hennur Road,2 BHK,1232,2,2.0,89.0,5,14.4,15867.0,5
1665,Super built-up  Area,19-Dec,Binny Pete,3 BHK,1282,3,2.0,178.0,5,8.6,15465.0,4
1666,Super built-up  Area,Ready To Move,Yelahanka,1 BHK,654,1,1.0,38.4,4,20.8,8500.0,6
1667,Built-up  Area,Ready To Move,Bannerghatta Road,2 BHK,1181,2,0.0,55.0,5,18.8,15867.0,5
1668,Super built-up  Area,Ready To Move,Bisuvanahalli,3 BHK,1075,2,1.0,45.0,5,38.4,17414.0,7
1669,Plot  Area,Ready To Move,2nd Stage Nagarbhavi,4 BHK,1200,4,2.0,245.0,5,15.2,15867.0,5
1670,Super built-up  Area,Ready To Move,T K Reddy Layout,3 BHK,1616,3,1.0,75.0,5,15.179954252443338,15867.0,5
1671,Built-up  Area,Ready To Move,Herohalli,5 BHK,1800,6,0.0,44.5,5,20.2,11184.0,6
1672,Plot  Area,Ready To Move,Kumbena Agrahara,6 BHK,1200,4,1.0,135.0,5,15.179954252443338,15867.0,5
1673,Super built-up  Area,20-Dec,Whitefield,3 BHK,1306,3,2.0,54.65,5,17.3,14981.0,5
1674,Super built-up  Area,Ready To Move,Whitefield,3 BHK,1626,3,3.0,89.0,5,17.3,14981.0,5
1675,Built-up  Area,Ready To Move,"Pai layout , Mahadevapura",6 BHK,2700,4,2.0,214.0,5,15.179954252443338,15867.0,5
1676,Super built-up  Area,Ready To Move,Whitefield,3 BHK,1585,3,2.0,88.0,5,17.3,14981.0,5
1677,Super built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,1370,2,1.0,56.17,5,11.0,15465.0,4
1678,Plot  Area,Ready To Move,Whitefield,5 BHK,3250,5,3.0,900.0,5,17.3,14981.0,5
1679,Super built-up  Area,Ready To Move,Kanakpura Road,2 BHK,1495,2,2.0,90.0,5,26.5,11184.0,6
1680,Super built-up  Area,Ready To Move,frazertown,3 BHK,2000,3,2.0,210.0,5,15.179954252443338,15867.0,5
1681,Plot  Area,Ready To Move,Akshayanagara East,5 BHK,2400,4,1.0,300.0,5,14.0,15867.0,5
1682,Plot  Area,Ready To Move,Bannerghatta,3 BHK,1375,3,0.0,57.0,5,20.4,25000.0,6
1683,Super built-up  Area,Ready To Move,Old Madras Road,4 BHK,3715,6,0.0,224.5,5,4.7,24842.0,2
1684,Built-up  Area,Ready To Move,Kereguddadahalli,3 BHK,1400,2,2.0,48.0,5,19.4,15867.0,5
1685,Super built-up  Area,Ready To Move,Kadugodi,5 BHK,1100,5,0.0,135.0,5,18.7,12250.0,5
1686,Super built-up  Area,21-Dec,Whitefield,1 BHK,665,1,1.0,28.585,4,17.3,14981.0,5
1687,Plot  Area,Ready To Move,Hebbal Kempapura,4 BHK,1200,4,2.0,215.0,5,13.4,15867.0,5
1688,Super built-up  Area,Ready To Move,Yelahanka,2 BHK,1150,2,2.0,46.0,5,20.8,8500.0,6
1689,Super built-up  Area,Ready To Move,Hebbal,2 BHK,1080,2,1.0,54.0,5,11.1,17340.0,4
1690,Super built-up  Area,Ready To Move,Kaikondrahalli,3 BHK,1645,3,2.0,100.0,5,15.3,15867.0,5
1691,Super built-up  Area,Ready To Move,Doddanekundi,3 BHK,1760,3,3.0,176.0,5,11.9,14500.0,4
1692,Built-up  Area,Ready To Move,Venkatadri Layout,1 BHK,595,1,1.0,42.0,4,15.179954252443338,15867.0,5
1693,Plot  Area,Ready To Move,Bommenahalli,3 BHK,1200,3,1.0,125.0,5,9.6,15465.0,4
1694,Super built-up  Area,18-Dec,JP Nagar,4 BHK,4624,4,0.0,314.5,5,9.9,15465.0,4
1695,Built-up  Area,Ready To Move,Mahaganapathy Nagar,2 BHK,1410,2,3.0,67.0,5,15.179954252443338,15867.0,5
1696,Built-up  Area,18-Dec,Huskur,2 BHK,1090,2,1.0,31.48,5,22.4,11184.0,6
1697,Plot  Area,Ready To Move,Ramagondanahalli,1 BHK,540,1,0.0,30.0,4,15.4,19867.0,5
1698,Super built-up  Area,Ready To Move,Sarjapur  Road,2 BHK,1300,2,2.0,60.0,5,17.2,15867.0,5
1699,Built-up  Area,Ready To Move,9th Phase JP Nagar,3 BHK,1890,2,2.0,85.0,5,15.8,15867.0,5
1700,Super built-up  Area,Ready To Move,Belathur,2 BHK,1254,2,1.0,53.0,5,17.4,15867.0,5
1701,Built-up  Area,Ready To Move,Kattigenahalli,7 BHK,2800,7,2.0,125.0,5,21.0,11184.0,6
1702,Built-up  Area,Ready To Move,Ulsoor,2 BHK,1275,2,1.0,120.0,5,3.1,18333.0,2
1703,Super built-up  Area,Ready To Move,Kathriguppe,3 BHK,1245,2,2.0,68.48,5,9.6,15465.0,4
1704,Built-up  Area,Ready To Move,Rustam Bagh Layout,2 BHK,1170,2,2.0,86.0,5,7.0,17994.0,3
1705,Super built-up  Area,18-Apr,Panathur,2 BHK,1193,2,1.0,86.0,5,14.2,16000.0,5
1706,Super built-up  Area,18-Dec,Chandapura,2 BHK,850,2,1.0,25.4,4,24.0,11714.0,6
1707,Super built-up  Area,Ready To Move,Marathahalli,3 BHK,1678,3,3.0,70.0,5,10.9,16620.0,4
1708,Built-up  Area,Ready To Move,Gunjur,3 BHK,1600,3,3.0,75.0,5,18.5,16000.0,5
1709,Super built-up  Area,Ready To Move,Electronics City Phase 1,3 BHK,1750,3,2.0,84.0,5,20.3,11184.0,6
1710,Super built-up  Area,18-Nov,Whitefield,2 BHK,1125,2,2.0,62.0,5,17.3,14981.0,5
1711,Plot  Area,Ready To Move,Andrahalli,4 BHK,2200,4,3.0,235.0,5,15.179954252443338,15867.0,5
1712,Plot  Area,Ready To Move,Singena Agrahara,3 BHK,16146,3,1.0,95.0,8,23.3,11184.0,6
1713,Built-up  Area,Ready To Move,HBR Layout,3 BHK,2800,2,0.0,200.0,5,8.8,22050.0,4
1714,Plot  Area,Ready To Move,R.T. Nagar,2 BHK,1200,2,1.0,120.0,5,9.7,15465.0,4
1715,Built-up  Area,Ready To Move,Vittal Nagar,2 BHK,1000,2,1.0,50.0,4,15.179954252443338,15867.0,5
1716,Built-up  Area,Ready To Move,Sadashiva Nagar,4 BHK,2780,5,2.0,480.0,5,6.7,17994.0,3
1717,Built-up  Area,18-Dec,Electronic City Phase II,3 BHK,1320,2,1.0,38.13,5,19.3,11500.0,5
1718,Super built-up  Area,Ready To Move,2Electronic City Phase II,27 BHK,8000,27,0.0,230.0,6,15.179954252443338,15867.0,5
1719,Super built-up  Area,Ready To Move,Ardendale,4 BHK,2422,4,2.0,160.0,5,23.1,11184.0,6
1720,Built-up  Area,Ready To Move,Kasavanhalli,2 BHK,1100,2,1.0,50.0,5,15.0,15867.0,5
1721,Built-up  Area,Ready To Move,Uttarahalli,2 BHK,882,2,1.0,30.0,4,12.9,19750.0,4
1722,Super built-up  Area,Ready To Move,Bisuvanahalli,2 BHK,845,2,1.0,37.0,4,38.4,17414.0,7
1723,Super built-up  Area,Ready To Move,Kambipura,2 BHK,883,2,1.0,39.0,4,23.2,11184.0,6
1724,Super built-up  Area,Ready To Move,Thanisandra,1 BHK,776,1,1.0,48.145,4,11.5,13500.0,4
1725,Super built-up  Area,Ready To Move,Brookefield,3 BHK,1595,3,3.0,88.0,5,15.1,21250.0,5
1726,Built-up  Area,Ready To Move,Whitefield,2 BHK,1280,2,0.0,85.0,5,17.3,14981.0,5
1727,Built-up  Area,Ready To Move,3rd Block Banashankari,4 BHK,1700,2,1.0,550.0,5,10.4,15465.0,4
1728,Super built-up  Area,Ready To Move,Bhuvaneshwari Nagar,2 BHK,920,2,0.0,35.0,4,13.4,15867.0,5
1729,Super built-up  Area,Ready To Move,Choodasandra,2 BHK,1300,2,3.0,57.0,5,16.8,15867.0,5
1730,Super built-up  Area,Ready To Move,Shanthala Nagar,2 BHK,1450,1,0.0,230.0,5,2.0,15551.50908235294,1
1731,Super built-up  Area,Ready To Move,Harlur,3 BHK,1757,3,2.0,132.0,5,16.1,22500.0,5
1732,Super built-up  Area,Ready To Move,Anekal,1 BHK,600,1,1.0,16.5,4,34.2,17414.0,7
1733,Built-up  Area,Ready To Move,Jnanabharathi Layout,4 BHK,2400,3,2.0,142.0,5,16.4,15867.0,5
1734,Super built-up  Area,Ready To Move,Sarjapur,2 BHK,1240,2,1.0,44.0,5,17.2,45000.0,5
1735,Plot  Area,Ready To Move,Kadarenahalli,10 BHK,750,10,1.0,90.0,4,15.179954252443338,15867.0,5
1736,Super built-up  Area,18-Feb,EPIP Zone,2 BHK,1330,2,1.0,93.36,5,14.6,15867.0,5
1737,Super built-up  Area,Ready To Move,8th Phase JP Nagar,2 BHK,1062,2,1.0,42.47,5,14.5,15867.0,5
1738,Built-up  Area,Ready To Move,JP Nagar,2 BHK,1078,2,2.0,45.0,5,9.9,15465.0,4
1739,Super built-up  Area,Ready To Move,Bannerghatta Road,3 BHK,1460,2,2.0,72.0,5,18.8,15867.0,5
1740,Plot  Area,18-Dec,Whitefield,3 BHK,1200,3,2.0,68.5,5,17.3,14981.0,5
1741,Super built-up  Area,Ready To Move,Laggere,1 BHK,1200,1,1.0,48.0,5,15.7,15867.0,5
1742,Super built-up  Area,Ready To Move,Kammasandra,3 BHK,912,2,1.0,39.0,4,21.2,11184.0,6
1743,Super built-up  Area,19-Mar,Hosa Road,3 BHK,1535,3,1.0,115.0,5,15.7,2283.0,5
1744,Plot  Area,Ready To Move,Victoria Layout,5 BHK,2400,5,1.0,625.0,5,1.9,15551.50908235294,1
1745,Plot  Area,Ready To Move,Prithvi Layout,4 BHK,2028,4,3.0,162.0,5,17.3,15867.0,5
1746,Super built-up  Area,19-Apr,Mysore Road,2 BHK,980,2,1.0,45.47,4,28.6,11184.0,6
1747,Built-up  Area,Ready To Move,Sarjapur  Road,2 BHK,1000,2,2.0,40.0,4,17.2,15867.0,5
1748,Super built-up  Area,Ready To Move,Sarjapur  Road,2 BHK,1050,2,1.0,62.0,5,17.2,15867.0,5
1749,Built-up  Area,18-Dec,Bannerghatta,3 BHK,2611,3,1.0,239.0,5,20.4,25000.0,6
1750,Super built-up  Area,Ready To Move,Domlur,3 BHK,1875,2,2.0,150.0,5,5.4,17994.0,3
1751,Super built-up  Area,Ready To Move,Hennur Road,2 BHK,1065,2,1.0,42.6,5,14.4,15867.0,5
1752,Built-up  Area,Ready To Move,Sanjay nagar,3 BHK,1800,3,2.0,180.0,5,10.6,15465.0,4
1753,Super built-up  Area,Ready To Move,Sector 7 HSR Layout,2 BHK,1163,2,2.0,98.86,5,9.8,15465.0,4
1754,Super built-up  Area,Ready To Move,Tumkur Road,2 BHK,1098,2,1.0,72.0,5,20.9,11184.0,6
1755,Built-up  Area,Ready To Move,5th Phase JP Nagar,3 BHK,1725,2,2.0,100.0,5,10.9,15465.0,4
1756,Plot  Area,Ready To Move,Whitefield,4 BHK,4000,4,2.0,330.0,5,17.3,14981.0,5
1757,Super built-up  Area,Ready To Move,Thubarahalli,2 BHK,1128,2,2.0,75.0,5,13.5,15867.0,5
1758,Plot  Area,Ready To Move,Subramanyanagar,8 BHK,1320,6,2.0,200.0,5,15.179954252443338,15867.0,5
1759,Super built-up  Area,Ready To Move,Yelahanka,3 BHK,1705,3,1.0,74.16,5,20.8,8500.0,6
1760,Super built-up  Area,Ready To Move,Thigalarapalya,2 BHK,1418,2,2.0,95.0,5,15.0,15867.0,5
1761,Built-up  Area,Ready To Move,Ramamurthy Nagar,3 BHK,1500,3,1.0,160.0,5,11.7,14647.0,4
1762,Built-up  Area,Ready To Move,Hebbal,2 BHK,1100,2,2.0,50.0,5,11.1,17340.0,4
1763,Super built-up  Area,Ready To Move,KUDLU MAIN ROAD,3 BHK,1464,3,2.0,56.0,5,12.1,15465.0,4
1764,Super built-up  Area,18-May,Hebbal,2 BHK,812,2,2.0,55.0,4,11.1,17340.0,4
1765,Super built-up  Area,19-Dec,Binny Pete,4 BHK,2818,4,2.0,204.0,5,8.6,15465.0,4
1766,Super built-up  Area,Ready To Move,Doddanekundi,2 BHK,1280,2,2.0,40.0,5,11.9,14500.0,4
1767,Super built-up  Area,Ready To Move,Whitefield,2 BHK,1420,2,2.0,136.0,5,17.3,14981.0,5
1768,Plot  Area,Ready To Move,1 Ramamurthy Nagar,11 BHK,1200,11,0.0,170.0,5,15.179954252443338,15867.0,5
1769,Plot  Area,Ready To Move,Kadugondanahalli,6 BHK,727,6,2.0,66.0,4,7.1,17994.0,3
1770,Plot  Area,Ready To Move,Banashankari Stage II,4 BHK,1200,2,1.0,150.0,5,9.5,15465.0,4
1771,Super built-up  Area,18-May,Old Airport Road,4 BHK,2774,4,2.0,207.0,5,9.9,15465.0,4
1772,Super built-up  Area,Ready To Move,5th Stage BEML Layout,3 BHK,2000,3,2.0,85.0,5,15.179954252443338,15867.0,5
1773,Super built-up  Area,Ready To Move,HBR Layout,3 BHK,1722,3,2.0,95.0,5,8.8,22050.0,4
1774,Super built-up  Area,Ready To Move,Indira Nagar,3 BHK,2800,3,1.0,330.0,5,3.7,24842.0,2
1776,Carpet  Area,Ready To Move,Jaya Mahal layout,3 BHK,1650,3,3.0,175.0,5,15.179954252443338,15867.0,5
1777,Built-up  Area,Ready To Move,BSM Extension,2 BHK,840,2,2.0,27.0,4,36.2,17414.0,7
1778,Built-up  Area,Ready To Move,Jigani,2 BHK,914,2,2.0,47.0,4,27.7,10740.0,6
1779,Super built-up  Area,19-Mar,Hennur Road,3 BHK,1482,2,2.0,83.73,5,14.4,15867.0,5
1780,Super built-up  Area,17-Dec,Kundalahalli,3 BHK,1724,3,2.0,127.0,5,17.4,15867.0,5
1781,Super built-up  Area,Ready To Move,Vijinapura,3 BHK,1670,3,3.0,91.86,5,15.179954252443338,15867.0,5
1782,Super built-up  Area,Ready To Move,Banaswadi,2 BHK,1184,2,3.0,53.0,5,7.8,21580.0,3
1783,Super built-up  Area,Ready To Move,Kodigehaali,2 BHK,1200,2,1.0,55.0,5,15.8,15867.0,5
1784,Plot  Area,Ready To Move,TC Palaya,2 BHK,1200,2,0.0,65.0,5,12.2,15465.0,4
1785,Super built-up  Area,Ready To Move,Jigani,2 BHK,927,2,2.0,55.0,4,27.7,10740.0,6
1786,Super built-up  Area,Ready To Move,P&T Layout,2 BHK,1242,2,3.0,39.7,5,15.179954252443338,15867.0,5
1787,Built-up  Area,18-Aug,Electronic City Phase II,3 BHK,1220,3,1.0,35.23,5,19.3,11500.0,5
1788,Built-up  Area,Ready To Move,Electronic City,3 BHK,1360,2,1.0,75.0,5,18.1,15867.0,5
1789,Plot  Area,Ready To Move,Brookefield,4 BHK,2800,4,2.0,240.0,5,15.1,21250.0,5
1790,Super built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,1180,2,2.0,72.0,5,11.0,15465.0,4
1791,Super built-up  Area,Ready To Move,Whitefield,3 BHK,1697,3,2.0,108.0,5,17.3,14981.0,5
1792,Super built-up  Area,Ready To Move,Yelahanka New Town,2 BHK,550,2,1.0,26.0,4,21.5,15250.0,6
1793,Super built-up  Area,Ready To Move,Hennur,2 BHK,1225,2,1.0,57.0,5,10.0,17529.0,4
1794,Super built-up  Area,Ready To Move,Byrasandra,3 BHK,1690,2,2.0,55.0,5,8.0,17994.0,3
1795,Plot  Area,18-Apr,SBM Colony,10 BHK,1660,10,3.0,475.0,5,15.179954252443338,15867.0,5
1796,Super built-up  Area,Ready To Move,Veerannapalya,3 BHK,1488,3,2.0,57.0,5,15.179954252443338,15867.0,5
1797,Built-up  Area,Ready To Move,Chowdeshwari Layout,3 BHK,1250,2,1.0,80.0,5,15.179954252443338,15867.0,5
1798,Super built-up  Area,Ready To Move,JP Nagar,1 BHK,1050,1,1.0,44.0,5,9.9,15465.0,4
1799,Super built-up  Area,Ready To Move,HSR Layout,2 BHK,1027,2,2.0,44.0,5,10.5,20521.0,4
1800,Super built-up  Area,21-May,Kanakpura Road,3 BHK,1699,3,3.0,81.94,5,26.5,11184.0,6
1801,Built-up  Area,Ready To Move,Whitefield,2 BHK,1205,2,2.0,58.0,5,17.3,14981.0,5
1802,Plot  Area,Ready To Move,Mathikere Extension,4 BHK,712,2,1.0,67.5,4,15.179954252443338,15867.0,5
1803,Super built-up  Area,18-Feb,Horamavu Agara,2 BHK,950,2,3.0,39.0,4,12.2,15465.0,4
1804,Plot  Area,Ready To Move,TC Palaya,2 BHK,1200,2,0.0,70.0,5,12.2,15465.0,4
1805,Super built-up  Area,Ready To Move,Akshaya Nagar,3 BHK,1476,3,1.0,120.0,5,13.8,15867.0,5
1806,Built-up  Area,Ready To Move,CV Raman Nagar,2 BHK,1070,2,1.0,55.0,5,7.2,16500.0,3
1807,Super built-up  Area,Ready To Move,EPIP Zone,3 BHK,2160,4,2.0,172.0,5,14.6,15867.0,5
1808,Super built-up  Area,Ready To Move,Sector 2 HSR Layout,2 BHK,1296,2,1.0,75.0,5,6.6,17994.0,3
1809,Built-up  Area,Ready To Move,Chikkalasandra,2 BHK,1800,1,1.0,128.0,5,12.1,21000.0,4
1810,Super built-up  Area,Ready To Move,Kanakpura Road,3 BHK,1570,3,3.0,64.5,5,26.5,11184.0,6
1811,Super built-up  Area,Ready To Move,Koramangala,2 BHK,1300,2,3.0,110.0,5,8.3,2117.0,4
1812,Built-up  Area,Ready To Move,Sarjapur,4 BHK,1550,2,2.0,65.0,5,17.2,45000.0,5
1813,Super built-up  Area,Ready To Move,Electronic City,2 BHK,770,1,1.0,40.0,4,18.1,15867.0,5
1814,Built-up  Area,Ready To Move,Jalahalli,3 BHK,1870,3,2.0,110.0,5,16.6,11000.0,5
1815,Plot  Area,Ready To Move,Anantapura,3 BHK,1650,4,1.0,160.0,5,15.179954252443338,15867.0,5
1816,Super built-up  Area,Ready To Move,Domlur,3 BHK,1429,3,3.0,86.0,5,5.4,17994.0,3
1817,Super built-up  Area,17-Nov,Babusapalaya,3 BHK,1167,2,2.0,39.98,5,9.8,15465.0,4
1818,Super built-up  Area,18-May,Bommasandra,2 BHK,1035,2,1.0,41.73,5,21.7,15500.0,6
1819,Super built-up  Area,Ready To Move,Kengeri,3 BHK,1188,2,2.0,38.0,5,22.5,12000.0,6
1820,Plot  Area,Ready To Move,2nd Stage Nagarbhavi,5 BHK,1200,4,2.0,285.0,5,15.2,15867.0,5
1821,Plot  Area,Ready To Move,Sarjapur,3 BHK,14166,3,1.0,76.0,7,17.2,45000.0,5
1822,Super built-up  Area,Ready To Move,Nagarbhavi,1 BHK,884,2,2.0,36.0,4,17.0,16334.0,5
1823,Super built-up  Area,Ready To Move,Haralur Road,2 BHK,1194,2,2.0,46.0,5,14.9,15867.0,5
1824,Super built-up  Area,19-Dec,Hoodi,2 BHK,1026,2,1.0,60.87,5,13.3,9233.0,5
1825,Plot  Area,Ready To Move,Shivaji Nagar,7 BHK,1400,6,3.0,200.0,5,3.3,24842.0,2
1826,Super built-up  Area,Ready To Move,Kaikondrahalli,2 BHK,1115,2,2.0,50.0,5,15.3,15867.0,5
1827,Plot  Area,Ready To Move,Hebbal Kempapura,2 BHK,1200,2,1.0,125.0,5,13.4,15867.0,5
1828,Super built-up  Area,18-Dec,Old Airport Road,4 BHK,2690,4,3.0,191.0,5,9.9,15465.0,4
1829,Super built-up  Area,Ready To Move,Subramanyapura,2 BHK,975,2,1.0,58.0,4,16.0,13250.0,5
1830,Plot  Area,Ready To Move,Hosa Road,3 BHK,675,3,2.0,72.5,4,15.7,2283.0,5
1831,Super built-up  Area,Ready To Move,Chamrajpet,4 BHK,1900,2,1.0,170.0,5,6.7,15875.0,3
1832,Plot  Area,17-Dec,Banashankari,3 BHK,600,3,1.0,100.0,4,11.2,15107.0,4
1833,Super built-up  Area,Ready To Move,OMBR Layout,2 BHK,1101,2,2.0,65.5,5,7.7,17994.0,3
1834,Super built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,1700,3,3.0,135.0,5,17.2,15867.0,5
1835,Super built-up  Area,Ready To Move,Whitefield,4 BHK,3606,4,2.0,312.0,5,17.3,14981.0,5
1836,Super built-up  Area,Ready To Move,Padmanabhanagar,2 BHK,1258,2,2.0,115.0,5,11.3,15465.0,4
1837,Carpet  Area,Ready To Move,Kanakpura Road,3 BHK,1560,3,2.0,92.0,5,26.5,11184.0,6
1838,Super built-up  Area,Ready To Move,Old Madras Road,4 BHK,3630,6,1.0,195.0,5,4.7,24842.0,2
1839,Built-up  Area,Ready To Move,JP Nagar,3 BHK,2000,3,2.0,250.0,5,9.9,15465.0,4
1840,Super built-up  Area,19-Jun,Hebbal,4 BHK,2790,4,3.0,198.0,5,11.1,17340.0,4
1841,Super built-up  Area,20-Jan,Badavala Nagar,3 BHK,1494,2,2.0,94.55,5,9.6,15465.0,4
1842,Super built-up  Area,18-Oct,Hennur Road,3 BHK,1482,2,1.0,87.0,5,14.4,15867.0,5
1843,Super built-up  Area,Ready To Move,Rustam Bagh Layout,2 BHK,800,2,3.0,50.0,4,7.0,17994.0,3
1844,Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2 BHK,1185,2,2.0,47.39,5,15.3,15867.0,5
1845,Super built-up  Area,Ready To Move,Hulimavu,2 BHK,1100,2,2.0,71.5,5,15.0,11000.0,5
1846,Built-up  Area,Ready To Move,NRI Layout,2 BHK,1300,2,0.0,120.0,5,12.8,14833.0,4
1847,Super built-up  Area,Ready To Move,4th Block Koramangala,2 BHK,1225,2,2.0,150.0,5,8.9,15465.0,4
1848,Super built-up  Area,Ready To Move,Hulimavu,3 BHK,1758,3,2.0,65.0,5,15.0,11000.0,5
1849,Super built-up  Area,Ready To Move,Banaswadi,2 BHK,1145,2,2.0,55.0,5,7.8,21580.0,3
1850,Built-up  Area,Ready To Move,Hormavu,2 BHK,1180,2,2.0,50.0,5,11.9,15465.0,4
1851,Super built-up  Area,Ready To Move,Belatur,2 BHK,1260,2,2.0,58.0,5,15.179954252443338,15867.0,5
