,ID,area_type,availability,location,size,society,total_sqft,bath,balcony,dist_from_city
539,539,Built-up  Area,Ready To Move,CV Raman Nagar,2 BHK,Unknown,1125,2.0,1.0,7.2
540,540,Plot  Area,Ready To Move,Bileshivale,6 Bedroom,Unknown,2400,7.0,2.0,14.0
541,541,Super built-up  Area,Ready To Move,Kengeri Satellite Town,2 BHK,Unknown,777.4,2.0,0.0,16.9
542,542,Super built-up  Area,Ready To Move,Battarahalli,4 BHK,Unknown,2500,3.0,1.0,12.9
543,543,Super built-up  Area,Ready To Move,Old Airport Road,3 BHK,Roa 2ha,1798,3.0,1.5947635795232513,9.9
544,544,Built-up  Area,Ready To Move,Dodda Nekkundi Extension,3 BHK,AlEcone,1864,3.0,2.0,13.8
545,545,Super built-up  Area,Ready To Move,Whitefield,2 BHK,Unknown,1115,2.0,1.0,17.3
546,546,Super built-up  Area,Ready To Move,Kengeri,1 BHK,Unknown,400,1.0,1.0,22.5
547,547,Super built-up  Area,Ready To Move,Rajaji Nagar,2 BHK,Unknown,1200,2.0,1.0,9.6
548,548,Super built-up  Area,18-May,Ananth Nagar,2 BHK,Unknown,992,2.0,2.0,21.6
549,549,Built-up  Area,Ready To Move,Jakkasandra Extension,2 BHK,Unknown,950,2.0,3.0,11.6
550,550,Plot  Area,Ready To Move,R.T. Nagar,4 Bedroom,Unknown,1500,4.0,3.0,9.7
551,551,Super built-up  Area,Ready To Move,Bellandur,2 BHK,Krine O,1200,2.0,1.0,12.9
552,552,Built-up  Area,Ready To Move,GM Palaya,3 BHK,Srg Bnc,1735,3.0,2.0,7.9
553,553,Built-up  Area,Ready To Move,BTM 2nd Stage,3 BHK,SNe 2ev,1750,3.0,3.0,10.0
554,554,Super built-up  Area,Ready To Move,HSR Layout,2 BHK,Ammesss,1009,2.0,2.0,10.5
555,555,Super built-up  Area,Ready To Move,Jalahalli,3 BHK,BrardCo,1470,2.0,3.0,16.6
556,556,Super built-up  Area,Ready To Move,Bannerghatta Road,3 BHK,Unknown,1527,3.0,2.0,18.8
557,557,Built-up  Area,Ready To Move,Singapura Village,2 BHK,Juoryma,985,2.0,1.0,17.6
558,558,Built-up  Area,Ready To Move,Chandapura,4 Bedroom,Unknown,3300,4.0,2.0,24.0
559,559,Super built-up  Area,18-Jun,Whitefield,2 BHK,Asarqz ,1277,2.0,1.0,17.3
560,560,Super built-up  Area,18-May,Nallurhalli,2 BHK,CMoneoo,1100,2.0,1.0,16.5
561,561,Super built-up  Area,Ready To Move,Whitefield,3 BHK,Brony H,1820,3.0,2.0,17.3
562,562,Super built-up  Area,Ready To Move,Puttanahalli,4 BHK,Unknown,1530,3.0,3.0,20.0
563,563,Super built-up  Area,Ready To Move,Banashankari,3 BHK,PrdgeSo,1886,3.0,2.0,11.2
564,564,Plot  Area,Ready To Move,Chandra Layout,3 Bedroom,Unknown,1200,2.0,0.0,12.3
565,565,Super built-up  Area,Ready To Move,Jakkur,3 BHK,BrdgeNo,1880,4.0,2.0,12.9
566,566,Super built-up  Area,Ready To Move,Hennur,2 BHK,Shateor,1255,2.0,2.0,10.0
567,567,Super built-up  Area,21-Dec,Kanakpura Road,2 BHK,PrarePa,700,2.0,1.0,26.5
568,568,Super built-up  Area,Ready To Move,Somasundara Palya,2 BHK,Unknown,1140,2.0,2.0,12.0
569,569,Built-up  Area,18-Aug,Electronic City Phase II,2 BHK,Sryalan,1025,2.0,1.0,19.3
570,570,Built-up  Area,Ready To Move,Whitefield,4 Bedroom,ArsiaEx,3453,4.0,2.0,17.3
571,571,Super built-up  Area,Ready To Move,Uttarahalli,3 BHK,Unknown,1490,2.0,2.0,12.9
572,572,Plot  Area,Ready To Move,Akshaya Vana,4 Bedroom,Unknown,1200,4.0,2.0,14.2
573,573,Super built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,Adeatlm,1850,3.0,2.0,17.2
574,574,Super built-up  Area,Ready To Move,Kaikondrahalli,2 BHK,Unknown,1250,2.0,1.0,15.3
575,575,Super built-up  Area,Ready To Move,Kamakya Layout,4 BHK,Unknown,2400,3.0,1.0,
576,576,Super built-up  Area,Ready To Move,Kodihalli,4 BHK,Soianal,3522,5.0,3.0,6.1
577,577,Super built-up  Area,18-Dec,Jalahalli,2 BHK,Vaniai ,1244,2.0,2.0,16.6
578,578,Plot  Area,Ready To Move,Kumaraswami Layout,4 Bedroom,Unknown,623,4.0,1.0,12.2
579,579,Super built-up  Area,18-Dec,Kengeri Satellite Town,2 BHK,DSestSt,1025,2.0,1.0,16.9
580,580,Super built-up  Area,Ready To Move,Sarjapur  Road,2 BHK,DSlesSp,1034,2.0,1.0,17.2
581,581,Super built-up  Area,18-Jan,Kengeri Satellite Town,3 BHK,DSestSt,1191,2.0,2.0,16.9
582,582,Super built-up  Area,Ready To Move,Kasavanhalli,3 BHK,Maowsve,1719,3.0,2.0,15.0
583,583,Super built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,Unknown,1035,2.0,1.0,11.0
584,584,Plot  Area,Ready To Move,2nd Stage Nagarbhavi,4 Bedroom,Unknown,1500,3.0,2.0,15.2
585,585,Super built-up  Area,18-Dec,Hosa Road,3 BHK,SJerse ,1470,2.0,2.0,15.7
586,586,Super built-up  Area,Ready To Move,Yelahanka,2 BHK,Unknown,1140,2.0,1.0,20.8
587,587,Super built-up  Area,Ready To Move,Harlur,3 BHK,SosicCl,1752.12,3.0,2.0,16.1
588,588,Plot  Area,Ready To Move,BTM 1st Stage,6 Bedroom,Unknown,600,6.0,2.0,7.4
589,589,Plot  Area,Ready To Move,2nd Stage Nagarbhavi,4 Bedroom,Unknown,600,3.0,1.0,15.2
590,590,Super built-up  Area,Ready To Move,Old Madras Road,3 BHK,Brica E,2990,3.0,2.0,4.7
591,591,Super built-up  Area,Ready To Move,Bannerghatta Road,3 BHK,SNity S,1660,3.0,2.0,18.8
592,592,Super built-up  Area,Ready To Move,Electronic City,3 BHK,Pao 3ow,1275,3.0,3.0,18.1
593,593,Super built-up  Area,18-Jun,Bommasandra Industrial Area,3 BHK,Unknown,1365,3.0,1.0,21.6
594,594,Plot  Area,Ready To Move,"MEI layout, Bagalgunte",3 Bedroom,Unknown,1200,2.0,0.0,
595,595,Super built-up  Area,Ready To Move,Kanakpura Road,3 BHK,Unknown,2546,3.0,1.5947635795232513,26.5
596,596,Super built-up  Area,20-Oct,Banashankari Stage VI,3 BHK,Brens7 ,1392,3.0,1.0,14.9
597,597,Super built-up  Area,18-Mar,Whitefield,2 BHK,Asarqz ,1245,2.0,1.0,17.3
598,598,Built-up  Area,Ready To Move,Rayasandra,5 Bedroom,Unknown,1200,3.0,1.0,16.4
599,599,Super built-up  Area,Ready To Move,Yeshwanthpur,2 BHK,IBityin,1162,2.0,2.0,13.4
600,600,Super built-up  Area,Ready To Move,Singasandra,3 BHK,EAvarum,1476,2.0,1.0,12.8
601,601,Built-up  Area,Ready To Move,KR Puram,1 BHK,Unknown,700,1.0,1.0,11.9
602,602,Built-up  Area,Ready To Move,Gnana Bharathi,6 Bedroom,Unknown,3600,6.0,1.0,
603,603,Built-up  Area,Ready To Move,Jigani,2 BHK,DLhtsen,943,2.0,2.0,27.7
604,604,Plot  Area,Ready To Move,Pai Layout,2 Bedroom,Unknown,1150,2.0,1.0,7.1
605,605,Super built-up  Area,Ready To Move,Sarjapur  Road,2 BHK,VHinoel,1113,2.0,1.0,17.2
606,606,Super built-up  Area,20-Dec,Varthur,3 BHK,Myple M,1615,3.0,2.0,17.4
607,607,Super built-up  Area,Ready To Move,Keshava Nagar,2 BHK,ETens G,1279,2.0,3.0,9.6
608,608,Super built-up  Area,Ready To Move,Kacharakanahalli,2 BHK,Unknown,1256,2.0,1.0,7.1
609,609,Built-up  Area,Ready To Move,Benson Town,3 BHK,Unknown,1805,3.0,2.0,5.6
610,610,Built-up  Area,Ready To Move,Sompura,3 BHK,Suiseit,1350,3.0,1.0,26.5
611,611,Super built-up  Area,18-May,SRINIVASAPURA,3 BHK,Unknown,1525,3.0,2.0,
612,612,Super built-up  Area,18-Aug,Rajaji Nagar,2 BHK,ProdsWe,1357,2.0,1.0,9.6
613,613,Super built-up  Area,19-Mar,Hebbal,3 BHK,Raard B,1645,3.0,2.0,11.1
614,614,Super built-up  Area,Ready To Move,Ardendale,3 BHK,SoystAm,1777.26,3.0,2.0,23.1
615,615,Super built-up  Area,Ready To Move,Bisuvanahalli,2 BHK,Prityel,845,2.0,2.0,38.4
616,616,Built-up  Area,Ready To Move,Sidedahalli,2 BHK,Unknown,900,2.0,0.0,19.7
617,617,Super built-up  Area,18-Sep,Varthur,2 BHK,Soamsay,1210,2.0,1.0,17.4
618,618,Super built-up  Area,19-Aug,Electronic City Phase II,2 BHK,Unknown,829,2.0,1.0,19.3
619,619,Super built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,Adeatlm,1879,3.0,2.0,17.2
620,620,Super built-up  Area,17-Jun,Hosur Road,3 BHK,Collsrn,1250,2.0,2.0,19.0
621,621,Built-up  Area,Ready To Move,Jeevanhalli,4 Bedroom,Unknown,1200,2.0,2.0,
622,622,Super built-up  Area,19-Mar,Marathahalli,3 BHK,Unezes ,1108,2.0,1.0,10.9
623,623,Super built-up  Area,18-Aug,Kanakpura Road,3 BHK,Unknown,1401,3.0,2.0,26.5
624,624,Super built-up  Area,19-Oct,Sarjapur  Road,3 BHK,AsastDe,1157,2.0,1.0,17.2
625,625,Built-up  Area,Ready To Move,Ramamurthy Nagar Extension,2 BHK,SaaceSa,1185,2.0,1.0,10.9
626,626,Super built-up  Area,Ready To Move,Green Glen Layout,3 BHK,Soweray,1751,3.0,2.0,16.9
627,627,Plot  Area,Ready To Move,Mahalakshmi Puram,5 Bedroom,Unknown,1550,3.0,1.0,11.4
628,628,Super built-up  Area,Ready To Move,Bannerghatta Road,3 BHK,SNity S,1880,3.0,2.0,18.8
629,629,Super built-up  Area,20-Dec,Whitefield,3 BHK,Somns T,1235 - 1410,3.0,0.0,17.3
630,630,Super built-up  Area,Ready To Move,Channasandra,2 BHK,Unknown,1175,2.0,2.0,19.6
631,631,Built-up  Area,Ready To Move,Jalahalli,2 BHK,Prensin,1407,2.0,1.0,16.6
632,632,Super built-up  Area,Ready To Move,Yelachenahalli,2 BHK,Shentnd,1000,2.0,2.0,11.5
633,633,Super built-up  Area,Ready To Move,Electronic City,3 BHK,Briumri,1518,3.0,3.0,18.1
634,634,Plot  Area,Ready To Move,"Gubbi Cross, Hennur Main Road",4 Bedroom,Unknown,3600,4.0,2.0,
635,635,Super built-up  Area,18-May,Tumkur Road,2 BHK,Sahtsva,1027,2.0,1.0,20.9
636,636,Super built-up  Area,Ready To Move,Dairy Circle,4 BHK,Soeurri,3730,6.0,2.0,6.9
637,637,Built-up  Area,Ready To Move,HSR Layout,2 BHK,NRosete,1145,2.0,2.0,10.5
638,638,Super built-up  Area,18-Aug,Rajaji Nagar,2 BHK,ProdsWe,1260,2.0,2.0,9.6
639,639,Super built-up  Area,Ready To Move,Begur Road,3 BHK,Dhalsh ,1500,2.0,3.0,10.8
640,640,Super built-up  Area,Ready To Move,Varthur,3 BHK,DSingSt,1737,2.0,1.0,17.4
641,641,Super built-up  Area,18-Dec,Hennur,4 BHK,Exitym ,3484 - 3550,2.0,1.5947635795232513,10.0
642,642,Plot  Area,Ready To Move,Byrathi Village,3 Bedroom,Unknown,1600,4.0,1.0,11.5
643,643,Built-up  Area,Ready To Move,Hegde Nagar,3 BHK,Sonosty,1500,3.0,2.0,13.7
644,644,Plot  Area,Ready To Move,Sabari Nagar,2 Bedroom,Unknown,1120,2.0,0.0,
645,645,Plot  Area,Ready To Move,Banashankari Stage V,3 Bedroom,Unknown,1200,4.0,1.0,13.6
646,646,Super built-up  Area,18-Dec,Hennur Road,2 BHK,Inaxyga,1030,2.0,1.0,14.4
647,647,Built-up  Area,Ready To Move,Gubbalala,6 Bedroom,Unknown,2500,6.0,1.0,15.4
648,648,Super built-up  Area,Ready To Move,Kammasandra,2 BHK,Sulya A,1057,2.0,1.0,21.2
649,649,Super built-up  Area,18-Dec,Old Airport Road,4 BHK,Jaades ,2774,4.0,3.0,9.9
650,650,Super built-up  Area,Ready To Move,Thanisandra,2 BHK,SLaceda,1460,2.0,2.0,11.5
651,651,Super built-up  Area,Ready To Move,Hormavu,2 BHK,ARureig,1075,2.0,1.0,11.9
652,652,Super built-up  Area,Ready To Move,Mysore Road,3 BHK,Unknown,1080,2.0,1.0,28.6
653,653,Super built-up  Area,19-Dec,Kodihalli,4 BHK,Priesla,3626,5.0,3.0,6.1
654,654,Super built-up  Area,Ready To Move,Ashraya Layout,6 BHK,Unknown,5100,7.0,1.5947635795232513,
655,655,Super built-up  Area,Ready To Move,Singasandra,2 BHK,SLowse ,1139.7,2.0,1.0,12.8
656,656,Super built-up  Area,18-Jun,Whitefield,2 BHK,ARipsul,1074,2.0,1.0,17.3
657,657,Plot  Area,18-Jul,Whitefield,2 Bedroom,Unknown,1200,2.0,1.0,17.3
658,658,Super built-up  Area,Ready To Move,Sarjapur  Road,4 BHK,Puallhi,2425,5.0,1.0,17.2
659,659,Super built-up  Area,Ready To Move,Sarjapur  Road,2 BHK,Maantr ,1323,2.0,2.0,17.2
660,660,Super built-up  Area,18-Aug,Hennur Road,2 BHK,Puachal,1232,2.0,1.0,14.4
661,661,Super built-up  Area,Ready To Move,Kalena Agrahara,2 BHK,Prmesi ,900,2.0,1.0,13.5
662,662,Super built-up  Area,Ready To Move,Sarjapura - Attibele Road,1 BHK,Soe 2as,740,1.0,1.0,36.0
663,663,Super built-up  Area,18-Dec,Hebbal,3 BHK,Mahosya,1920,3.0,2.0,11.1
664,664,Plot  Area,Ready To Move,Arishinakunte,1 Bedroom,Unknown,38Guntha,1.0,0.0,
665,665,Super built-up  Area,Ready To Move,Bannerghatta Road,3 BHK,SNity S,1550,3.0,2.0,18.8
666,666,Super built-up  Area,Ready To Move,Gunjur,3 BHK,MyhtsHe,1588,2.0,3.0,18.5
667,667,Built-up  Area,Ready To Move,Rajaji Nagar,3 Bedroom,Unknown,2300,4.0,1.0,9.6
668,668,Built-up  Area,Ready To Move,R.T. Nagar,9 Bedroom,Unknown,3600,8.0,2.0,9.7
669,669,Built-up  Area,Ready To Move,"Thanisandra Main Road, ",2 BHK,Unknown,1308,2.0,1.0,
670,670,Super built-up  Area,Ready To Move,Hennur,3 BHK,MDncyhi,1340,2.0,2.0,10.0
671,671,Plot  Area,Ready To Move,Kogilu,10 Bedroom,Unknown,3280,9.0,3.0,19.6
672,672,Built-up  Area,Ready To Move,Infantry Road,4 BHK,Unknown,2170,3.0,2.0,
673,673,Super built-up  Area,Ready To Move,Thanisandra,3 BHK,Soitya ,1719,3.0,2.0,11.5
674,674,Super built-up  Area,Ready To Move,Horamavu Agara,2 BHK,Maows M,1107.83,2.0,1.0,12.2
675,675,Plot  Area,18-Jul,Whitefield,2 Bedroom,Unknown,1200,2.0,1.0,17.3
676,676,Built-up  Area,18-Dec,Electronic City,1 BHK,Unknown,1090,2.0,1.0,18.1
677,677,Plot  Area,Ready To Move,Sarvabhouma Nagar,5 Bedroom,Unknown,1500,5.0,2.0,
678,678,Super built-up  Area,18-Dec,Jakkur,3 BHK,BrdgeNo,1660,3.0,2.0,12.9
679,679,Super built-up  Area,Ready To Move,Nagavara,2 BHK,K dotna,1247,2.0,1.0,13.2
680,680,Super built-up  Area,18-May,Thanisandra,3 BHK,Bhmesy ,1595,3.0,2.0,11.5
681,681,Super built-up  Area,Ready To Move,Kaggadasapura,2 BHK,JaaldEm,1175,2.0,2.0,8.9
682,682,Plot  Area,Ready To Move,9th Phase JP Nagar,8 Bedroom,Unknown,1200,8.0,1.5947635795232513,15.8
683,683,Super built-up  Area,Ready To Move,Old Airport Road,2 BHK,VSletes,1184,2.0,1.0,9.9
684,684,Super built-up  Area,Ready To Move,Byrasandra,2 BHK,Srhan P,1100,2.0,2.0,8.0
685,685,Plot  Area,18-Apr,Kaval Byrasandra,2 Bedroom,Unknown,935,2.0,0.0,8.9
686,686,Built-up  Area,Ready To Move,Yelahanka,2 BHK,Niareum,1200,2.0,2.0,20.8
687,687,Plot  Area,Ready To Move,Rajaji Nagar,5 Bedroom,Unknown,2400,5.0,1.0,9.6
688,688,Super built-up  Area,Ready To Move,Neelamangala,2 BHK,Unknown,1000,2.0,1.0,
689,689,Built-up  Area,Ready To Move,Uttarahalli,2 BHK,KBnnupu,1000,2.0,0.0,12.9
690,690,Super built-up  Area,Ready To Move,Yelahanka,3 BHK,Prensya,1705,3.0,2.0,20.8
691,691,Built-up  Area,Ready To Move,Tumkur Road,3 BHK,Mairer ,1060,2.0,2.0,20.9
692,692,Plot  Area,Ready To Move,Chikka Tirupathi,4 Bedroom,Theanmp,2325,4.0,1.0,34.6
693,693,Super built-up  Area,17-Mar,Kammagondahalli,3 BHK,DiiteR ,1347,2.0,2.0,19.0
694,694,Plot  Area,Ready To Move,Kathreguppe,8 Bedroom,Unknown,1200,8.0,3.0,
695,695,Super built-up  Area,17-Dec,Varthur,2 BHK,Unris E,1402,2.0,2.0,17.4
696,696,Super built-up  Area,18-Oct,Whitefield,3 BHK,Prtates,2280,4.0,2.0,17.3
697,697,Super built-up  Area,Ready To Move,Whitefield ECC Road,2 BHK,Unknown,1225,2.0,2.0,
698,698,Super built-up  Area,Ready To Move,5th Phase JP Nagar,2 BHK,Maodser,1080,2.0,1.0,10.9
699,699,Built-up  Area,18-Apr,Koppa,7 Bedroom,Unknown,4000,7.0,1.5947635795232513,
700,700,Super built-up  Area,Ready To Move,Lavelle Road,3 BHK,Unknown,1919,3.0,0.0,2.2
701,701,Built-up  Area,Ready To Move,Begur Road,2 BHK,Dhalsh ,1100,2.0,2.0,10.8
702,702,Super built-up  Area,Ready To Move,Sarjapur  Road,4 BHK,DSndsod,2500,4.0,3.0,17.2
703,703,Super built-up  Area,22-Jan,Bannerghatta Road,2 BHK,PrarePa,1200,2.0,2.0,18.8
704,704,Super built-up  Area,Ready To Move,Begur Road,3 BHK,Dhalsh ,1565,2.0,2.0,10.8
705,705,Plot  Area,18-Apr,Maruthi nagar kogilu,2 Bedroom,Unknown,1200,3.0,0.0,
706,706,Super built-up  Area,Ready To Move,Kothanur,3 BHK,Unknown,1581,3.0,3.0,11.8
707,707,Super built-up  Area,18-Dec,Whitefield,4 BHK,Prtates,2882,5.0,1.0,17.3
708,708,Plot  Area,Ready To Move,TC Palaya,5 Bedroom,Unknown,1440,5.0,2.0,12.2
709,709,Super built-up  Area,Ready To Move,Krishna Reddy Layout,3 BHK,RahtsHe,2180,3.0,3.0,
710,710,Built-up  Area,Ready To Move,Nagasandra,4 Bedroom,Unknown,7000,8.0,1.5947635795232513,17.6
711,711,Super built-up  Area,Ready To Move,Abbigere,2 BHK,SLtias ,985,2.0,1.0,18.4
712,712,Built-up  Area,Ready To Move,Sarjapur,2 BHK,Sondaka,950,2.0,2.0,17.2
713,713,Super built-up  Area,Ready To Move,Jai Bheema Nagar,2 BHK,Unknown,1339,2.0,2.0,
714,714,Super built-up  Area,Ready To Move,Ayappa Nagar,3 BHK,Spity E,1449,3.0,1.0,
715,715,Plot  Area,Ready To Move,Chikkasandra,4 Bedroom,Unknown,1200,4.0,2.0,
716,716,Super built-up  Area,18-May,Brindavan Layout,2 BHK,Unknown,1100,2.0,2.0,
717,717,Super built-up  Area,Ready To Move,Hoskote,2 BHK,Soose P,929 - 1078,2.0,0.0,24.7
718,718,Built-up  Area,Ready To Move,Kaval Byrasandra,3 Bedroom,Unknown,2700,3.0,2.0,8.9
719,719,Super built-up  Area,Ready To Move,Billamaranahalli,2 BHK,Unknown,1100,2.0,3.0,
720,720,Built-up  Area,18-Dec,Electronic City,2 BHK,Unknown,1140,2.0,1.0,18.1
721,721,Plot  Area,Ready To Move,Sarjapur,3 Bedroom,Prldsum,3009,3.0,2.0,17.2
722,722,Super built-up  Area,Ready To Move,Hanumantha Nagar,8 BHK,Unknown,3300,8.0,3.0,
723,723,Built-up  Area,Ready To Move,Chandapura,2 BHK,Unknown,800,1.0,2.0,24.0
724,724,Built-up  Area,Ready To Move,Chikkabanavar,5 Bedroom,Unknown,2000,4.0,0.0,19.7
725,725,Plot  Area,Ready To Move,Prasanti Nagar,4 Bedroom,Unknown,1200,4.0,1.0,
726,726,Built-up  Area,Ready To Move,3rd Block Hrbr Layout,2 BHK,Icncy R,1300,2.0,3.0,7.9
727,727,Super built-up  Area,Ready To Move,Kanakpura Road,2 BHK,Hahtsya,1220,2.0,2.0,26.5
728,728,Super built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,SoniaEt,2289,3.0,2.0,17.2
729,729,Super built-up  Area,18-Jan,Whitefield,2 BHK,Suhamra,1170,2.0,1.0,17.3
730,730,Super built-up  Area,Ready To Move,Vignana Nagar,2 BHK,Unknown,1350,2.0,2.0,9.7
731,731,Super built-up  Area,Ready To Move,Kambipura,2 BHK,Prrtht ,883,2.0,1.0,23.2
732,732,Built-up  Area,Ready To Move,Thanisandra,3 BHK,Soitya ,1698,3.0,2.0,11.5
733,733,Super built-up  Area,18-May,Electronic City Phase II,4 BHK,SNbay G,2150 - 2225,4.0,0.0,19.3
734,734,Super built-up  Area,Ready To Move,Ambalipura,2 BHK,Unknown,1060,2.0,1.0,13.7
735,735,Super built-up  Area,Ready To Move,Somasundara Palya,2 BHK,ManceEl,1185,2.0,2.0,12.0
736,736,Super built-up  Area,20-Dec,Padmanabhanagar,3 BHK,SollyCl,2051,3.0,1.0,11.3
737,737,Super built-up  Area,Ready To Move,Vittasandra,2 BHK,Unknown,1404,2.0,1.0,17.5
738,738,Super built-up  Area,Ready To Move,Electronic City Phase II,2 BHK,Brods W,1252,2.0,1.0,19.3
739,739,Super built-up  Area,18-Mar,Bannerghatta Road,3 BHK,Unknown,1885,3.0,1.0,18.8
740,740,Built-up  Area,Ready To Move,Kaikondrahalli,6 BHK,Unknown,3381,6.0,3.0,15.3
741,741,Super built-up  Area,Ready To Move,Hormavu,2 BHK,Unknown,980,2.0,2.0,11.9
742,742,Super built-up  Area,Ready To Move,Rajaji Nagar,3 BHK,PhestOn,2500,3.0,3.0,9.6
743,743,Super built-up  Area,19-Jan,Banashankari,3 BHK,Unknown,1420,3.0,1.0,11.2
744,744,Plot  Area,Ready To Move,Medahalli,6 Bedroom,Unknown,1166,6.0,1.5947635795232513,14.7
745,745,Built-up  Area,Ready To Move,"Banasawadi, ",3 BHK,Unknown,2312,3.0,2.0,
746,746,Super built-up  Area,Ready To Move,Kaggadasapura,4 BHK,Golmsoy,3000,4.0,1.5947635795232513,8.9
747,747,Built-up  Area,Ready To Move,Jayamahal,2 BHK,Unknown,1175,2.0,1.0,
748,748,Super built-up  Area,Ready To Move,Vinayaka Nagar,2 BHK,Unknown,1145,2.0,2.0,
749,749,Built-up  Area,Ready To Move,Bhoganhalli,2 BHK,Suwerlo,970,2.0,1.0,15.3
750,750,Built-up  Area,18-Dec,Electronic City,2 BHK,Unknown,1125,2.0,1.0,18.1
751,751,Super built-up  Area,19-Sep,Whitefield,3 BHK,DSersus,1520 - 1759,3.0,0.0,17.3
752,752,Built-up  Area,Ready To Move,9th Phase JP Nagar,4 BHK,ImiteEl,5000,4.0,1.5947635795232513,15.8
753,753,Built-up  Area,Ready To Move,3rd Block Jayanagar,3 BHK,Unknown,2150,3.0,3.0,
754,754,Super built-up  Area,18-Jul,Ramagondanahalli,3 BHK,ViistLa,1635,3.0,1.0,15.4
755,755,Built-up  Area,Ready To Move,Harlur,3 Bedroom,Femes S,3425,3.0,1.0,16.1
756,756,Built-up  Area,19-Mar,Hennur Road,4 Bedroom,Gollela,2950,4.0,3.0,14.4
757,757,Super built-up  Area,18-Dec,Jalahalli,1 BHK,Vaniai ,1200,2.0,1.0,16.6
758,758,Super built-up  Area,Ready To Move,Kathriguppe,3 BHK,Unknown,1335,2.0,2.0,9.6
759,759,Super built-up  Area,Ready To Move,Hebbal,4 BHK,Brium C,4450,6.0,0.0,11.1
760,760,Super built-up  Area,Ready To Move,Yeshwanthpur,2 BHK,IBityin,1166,2.0,1.0,13.4
761,761,Super built-up  Area,Ready To Move,Rajaji Nagar,3 BHK,PhestOn,2390,3.0,1.0,9.6
762,762,Super built-up  Area,Ready To Move,Shivaji Nagar,3 BHK,Unknown,1460,2.0,1.0,3.3
763,763,Super built-up  Area,Ready To Move,Gulimangala,3 BHK,Daxir E,1690,3.0,3.0,
764,764,Plot  Area,Ready To Move,Nagashetty Halli,4 Bedroom,Unknown,1386,3.0,2.0,11.3
765,765,Super built-up  Area,Ready To Move,Devasandra Extension,2 BHK,Unknown,1090,2.0,2.0,
766,766,Super built-up  Area,21-Dec,Thanisandra,3 BHK,Bhe 2ko,1732,3.0,1.0,11.5
767,767,Super built-up  Area,Ready To Move,Whitefield,2 BHK,Unknown,1390,2.0,1.0,17.3
768,768,Built-up  Area,Ready To Move,Sector 2 HSR Layout,2 BHK,DShtsow,1095,2.0,1.0,6.6
769,769,Super built-up  Area,19-Dec,Kengeri,1 BHK,VBn 2lm,416,1.0,1.0,22.5
770,770,Super built-up  Area,Ready To Move,Channasandra Layout,3 BHK,Unknown,2400,2.0,3.0,18.3
771,771,Built-up  Area,Ready To Move,Yelahanka,3 BHK,NCs 2rj,1350,2.0,3.0,20.8
772,772,Built-up  Area,Ready To Move,Bannerghatta Road,3 BHK,Unknown,1453,2.0,2.0,18.8
773,773,Super built-up  Area,Ready To Move,Thanisandra,2 BHK,Moity S,1226,2.0,1.0,11.5
774,774,Plot  Area,Ready To Move,Kasturi Nagar,4 Bedroom,Unknown,784,2.0,2.0,8.6
775,775,Super built-up  Area,Ready To Move,Hegde Nagar,3 BHK,Dhniail,1168,2.0,1.0,13.7
776,776,Super built-up  Area,19-Dec,Bannerghatta,3 BHK,Mamespa,1776,3.0,2.0,20.4
777,777,Built-up  Area,Ready To Move,Whitefield,3 BHK,CMionsy,1634,3.0,2.0,17.3
778,778,Plot  Area,Ready To Move,Hormavu,2 Bedroom,Unknown,860,2.0,0.0,11.9
779,779,Plot  Area,Ready To Move,Kamala Nagar,3 Bedroom,Unknown,2800,3.0,1.0,12.6
780,780,Super built-up  Area,Ready To Move,Nagasandra,3 BHK,Unknown,1650,3.0,2.0,17.6
781,781,Super built-up  Area,Ready To Move,Whitefield,2 BHK,Pae 1ov,1190,2.0,1.0,17.3
782,782,Super built-up  Area,18-Aug,JP Nagar,2 BHK,DSvvyx ,1133,2.0,1.0,9.9
783,783,Super built-up  Area,Ready To Move,Suraksha Nagar,3 BHK,AritaFe,1559,3.0,2.0,15.2
784,784,Plot  Area,Ready To Move,Horamavu Banaswadi,3 Bedroom,Unknown,1448,4.0,0.0,9.9
785,785,Super built-up  Area,Ready To Move,Sathya Sai Layout,4 BHK,Prowshi,6652,6.0,1.0,18.0
786,786,Super built-up  Area,Ready To Move,Kodichikkanahalli,2 BHK,Prs 2hi,976,2.0,1.0,11.3
787,787,Plot  Area,Ready To Move,Bank Of Baroda Colony,4 Bedroom,Unknown,1350,4.0,3.0,11.4
788,788,Super built-up  Area,Ready To Move,Yelahanka,3 BHK,Unknown,1590,2.0,2.0,20.8
789,789,Super built-up  Area,19-Dec,Binny Pete,4 BHK,Shestlo,2940,6.0,2.0,8.6
790,790,Built-up  Area,Ready To Move,Yelahanka,3 BHK,NCarkna,1633,3.0,2.0,20.8
791,791,Super built-up  Area,18-Aug,Ramagondanahalli,2 BHK,ViistLa,1151,2.0,2.0,15.4
792,792,Super built-up  Area,Ready To Move,Kereguddadahalli,3 BHK,DSdorSp,1400,2.0,2.0,19.4
793,793,Super built-up  Area,17-Apr,Uttarahalli,2 BHK,DSera S,1037,2.0,1.0,12.9
