ID,area_type,availability,location,size,society,total_sqft,bath,balcony,price,dist_from_city
3088,Super built-up  Area,Ready To Move,Ulsoor,3 BHK,Unknown,1500,2.0,2.0,125.0,3.1
3089,Super built-up  Area,18-May,Bommanahalli,3 BHK,Unknown,1250,2.0,2.0,42.5,9.6
3090,Built-up  Area,18-Jul,"Maragondana Halli, kr puram, old madras road",2 BHK,Unknown,1199,2.0,2.0,50.0,17.3
3091,Super built-up  Area,Ready To Move,Hennur Road,2 BHK,Maity W,1385,2.0,1.0,83.09,14.4
3092,Plot  Area,Ready To Move,Dhanalakshmi Layout,6 Bedroom,Unknown,1222,5.0,3.0,250.0,17.3
3093,Super built-up  Area,Ready To Move,Lakshminarayana Pura,2 BHK,RothaVa,1149,2.0,1.0,75.0,13.3
3094,Super built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,Adeatlm,2180,3.0,2.0,170.0,17.2
3095,Plot  Area,Ready To Move,TC Palaya,8 Bedroom,Unknown,1200,7.0,1.0,110.0,12.2
3096,Super built-up  Area,Ready To Move,Jp nagar 8th Phase .,10 BHK,Unknown,12000,12.0,1.5817572892040976,525.0,17.3
3097,Plot  Area,Ready To Move,Thurahalli,5 Bedroom,Jalot C,1200,5.0,0.0,195.0,17.3
3098,Super built-up  Area,Ready To Move,Hulimavu,3 BHK,NiarkHy,1818,3.0,1.0,135.0,15.0
3099,Super built-up  Area,Ready To Move,Volagerekallahalli,2 BHK,Unknown,1070,2.0,2.0,33.0,26.9
3100,Super built-up  Area,Ready To Move,Rajaji Nagar,3 BHK,Brway G,1640,3.0,2.0,241.0,9.6
3101,Built-up  Area,Ready To Move,Nagarbhavi,3 BHK,DSesthr,1350,2.0,2.0,54.6,17.0
3102,Built-up  Area,Ready To Move,Chandapura,2 BHK,Unknown,630,1.0,1.0,27.0,24.0
3103,Super built-up  Area,22-Jun,Hoodi,2 BHK,GoAirej,1430,2.0,2.0,113.0,13.3
3104,Super built-up  Area,Ready To Move,Nagavara,3 BHK,Unknown,2430,4.0,3.0,180.0,13.2
3105,Plot  Area,Ready To Move,Nobo Nagar,6 Bedroom,Unknown,1500,7.0,3.0,220.0,17.3
3106,Super built-up  Area,Ready To Move,Sarjapur  Road,2 BHK,Clell D,1084,2.0,3.0,55.0,17.2
3107,Super built-up  Area,Ready To Move,Hennur Road,3 BHK,Koagati,1186,2.0,1.0,56.0,14.4
3108,Built-up  Area,Ready To Move,Kengeri,2 BHK,Vaens G,1255,2.0,2.0,50.0,22.5
3109,Super built-up  Area,Ready To Move,Haralur Road,4 BHK,SoronSa,3400,5.0,3.0,240.0,14.9
3110,Super built-up  Area,18-Dec,Hosa Road,3 BHK,Mahesr ,1541,3.0,1.0,69.84,15.7
3111,Super built-up  Area,Ready To Move,Iblur Village,4 BHK,Emine P,3596,5.0,1.0,282.0,13.8
3112,Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2 BHK,NaonySy,1295,2.0,2.0,70.0,15.3
3113,Plot  Area,Ready To Move,Kasavanhalli,3 Bedroom,Unknown,1000,4.0,3.0,110.0,15.0
3114,Built-up  Area,Ready To Move,Sanjeevini Nagar,3 BHK,Betatsi,2820,3.0,1.5817572892040976,285.0,17.3
3115,Super built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,SrncyRe,1370,2.0,2.0,54.79,11.0
3116,Super built-up  Area,Ready To Move,Electronic City,2 BHK,DSgmax ,1100,2.0,1.0,40.0,18.1
3117,Super built-up  Area,18-Apr,Hebbal,4 BHK,Emceske,4772,6.0,2.0,510.0,11.1
3118,Super built-up  Area,Ready To Move,Rajaji Nagar,2 BHK,Brway G,1370,2.0,1.0,170.0,9.6
3119,Super built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,Unknown,1370,2.0,1.0,54.79,11.0
3120,Super built-up  Area,Ready To Move,JP Nagar,2 BHK,DSillto,1200,2.0,2.0,62.0,9.9
3121,Plot  Area,Ready To Move,Gunjur,4 Bedroom,Unknown,2000,3.0,0.0,95.0,18.5
3122,Built-up  Area,Ready To Move,9th Phase JP Nagar,4 BHK,ImiteEl,3500,4.0,1.5817572892040976,300.0,15.8
3123,Plot  Area,Ready To Move,2nd Stage Nagarbhavi,5 Bedroom,Unknown,1200,4.0,3.0,240.0,15.2
3124,Plot  Area,Ready To Move,Kengeri,4 Bedroom,Unknown,2400,5.0,2.0,253.0,22.5
3125,Super built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,Unknown,1220,3.0,2.0,62.0,17.2
3126,Built-up  Area,Ready To Move,Kanakapura Road,3 Bedroom,Unknown,1950,3.0,2.0,130.0,17.3
3127,Super built-up  Area,Ready To Move,Somasundara Palya,2 BHK,ManceEl,1178,2.0,3.0,73.0,12.0
3128,Super built-up  Area,Ready To Move,Dasanapura,3 BHK,Tavenew,1286,3.0,2.0,61.44,29.2
3129,Super built-up  Area,Ready To Move,Begur Road,2 BHK,Dhalsh ,1160,2.0,2.0,42.0,10.8
3130,Super built-up  Area,Ready To Move,Jigani,2 BHK,DLhtsan,918,2.0,2.0,55.0,27.7
3131,Super built-up  Area,21-Dec,Electronic City,3 BHK,KonteiT,1563,3.0,2.0,91.84,18.1
3132,Super built-up  Area,18-Nov,Govindpura,2 BHK,Unknown,1326,2.0,1.0,62.17,10.0
3133,Super built-up  Area,Ready To Move,3rd Block Jayanagar,3 BHK,Unknown,1350,2.0,2.0,140.0,17.3
3134,Super built-up  Area,17-Dec,Hebbal,4 BHK,Cehosy ,3960,5.0,3.0,386.0,11.1
3135,Super built-up  Area,Ready To Move,Begur Road,2 BHK,Unknown,1240,2.0,2.0,39.06,10.8
3136,Super built-up  Area,Ready To Move,Kaggadasapura,2 BHK,JaaldEm,1325,2.0,2.0,50.0,8.9
3137,Super built-up  Area,Ready To Move,Sonnenahalli,2 BHK,Whosone,1100,2.0,1.0,44.0,16.8
3138,Super built-up  Area,Ready To Move,Cunningham Road,3 BHK,Lelia M,3875,3.0,2.0,800.0,4.3
3139,Super built-up  Area,Ready To Move,Gollarapalya Hosahalli,3 BHK,Mauner ,1605,3.0,2.0,50.0,22.7
3140,Super built-up  Area,Ready To Move,Hennur Road,5 BHK,Unknown,5600,5.0,3.0,515.0,14.4
3141,Super built-up  Area,Ready To Move,Somasundara Palya,2 BHK,Srhts P,1260,2.0,1.0,60.0,12.0
3142,Super built-up  Area,19-Dec,Hoodi,3 BHK,Caycend,1553,3.0,2.0,83.09,13.3
3143,Super built-up  Area,Ready To Move,Whitefield,2 BHK,BMttaor,1280,2.0,2.0,52.0,17.3
3144,Super built-up  Area,Ready To Move,Hebbal,3 BHK,Arade A,1550,2.0,2.0,75.0,11.1
3145,Super built-up  Area,Ready To Move,Arekere,3 BHK,Unknown,1445,2.0,2.0,125.0,11.6
3146,Super built-up  Area,Ready To Move,Murugeshpalya,3 BHK,PintsAp,1550,3.0,2.0,74.0,6.8
3147,Super built-up  Area,Ready To Move,Electronics City Phase 1,3 BHK,SNdri N,1515,2.0,1.0,80.91,20.3
3148,Super built-up  Area,19-Mar,Hosa Road,3 BHK,Skume R,1332,2.0,1.0,86.12,15.7
3149,Super built-up  Area,Ready To Move,Electronic City,3 BHK,Briumri,1652,3.0,2.0,70.0,18.1
3150,Super built-up  Area,Ready To Move,Hegde Nagar,3 BHK,Sonosty,1570,3.0,1.0,105.0,13.7
3151,Plot  Area,Ready To Move,Sarjapur  Road,4 Bedroom,Adeatlm,5400,4.0,3.0,725.0,17.2
3152,Super built-up  Area,Ready To Move,Sector 2 HSR Layout,1 BHK,DShtsow,794,1.0,1.0,60.0,6.6
3153,Plot  Area,Ready To Move,Seegehalli,3 Bedroom,Unknown,1200,2.0,0.0,62.0,13.9
3154,Built-up  Area,Ready To Move,7th Phase JP Nagar,4 Bedroom,RBRWAyo,3600,3.0,2.0,410.0,11.0
3155,Plot  Area,Ready To Move,Hosakerehalli,3 Bedroom,Unknown,1200,3.0,2.0,175.0,13.4
3156,Super built-up  Area,Ready To Move,JP Nagar,4 BHK,Unknown,1650,3.0,1.0,220.0,9.9
3157,Plot  Area,Ready To Move,Chandra Layout,4 Bedroom,Unknown,600,2.0,1.0,85.0,12.3
3158,Super built-up  Area,Ready To Move,HRBR Layout,3 BHK,VDenaWa,2800,3.0,2.0,250.0,8.5
3159,Super built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,SocusHi,1750,3.0,2.0,110.0,17.2
3160,Built-up  Area,Ready To Move,Hebbal,2 BHK,Unknown,1053,2.0,1.0,48.0,11.1
3161,Super built-up  Area,21-Dec,Kanakpura Road,3 BHK,PrarePa,1100,3.0,2.0,53.0,26.5
3162,Super built-up  Area,Ready To Move,Kadubeesanahalli,3 BHK,Srhan P,1665,3.0,3.0,70.0,13.0
3163,Plot  Area,Ready To Move,Outer Ring Road East,4 Bedroom,PrstaTe,4051,4.0,3.0,345.0,9.8
3164,Plot  Area,Ready To Move,Malleshwaram,4 Bedroom,Unknown,5500,5.0,1.0,1500.0,8.3
3165,Built-up  Area,Ready To Move,Bommasandra,3 BHK,KBaleoy,1447,3.0,2.0,80.0,21.7
3166,Built-up  Area,Ready To Move,Balagere,2 BHK,Soresea,1012,2.0,1.0,75.0,16.1
3167,Super built-up  Area,Ready To Move,Malleshpalya,3 BHK,Saestde,1900,3.0,2.0,60.0,9.4
3168,Super built-up  Area,Ready To Move,Narayanapura,2 BHK,AriosHe,1308,2.0,2.0,92.66,13.2
3169,Super built-up  Area,Ready To Move,Green Glen Layout,4 BHK,Unknown,3250,4.0,1.5817572892040976,230.0,16.9
3170,Super built-up  Area,Ready To Move,Hormavu,1 BHK,Unknown,1351,2.0,1.0,53.0,11.9
3171,Super built-up  Area,Ready To Move,Electronic City,2 BHK,Unknown,1000,2.0,2.0,22.0,18.1
3172,Plot  Area,Ready To Move,J P Nagar 7th Phase Ramayya City,4 Bedroom,Unknown,1200,4.0,2.0,350.0,17.3
3173,Super built-up  Area,18-Aug,Gunjur,2 BHK,BMineis,1140,2.0,2.0,49.11,18.5
3174,Super built-up  Area,22-May,Jakkur,4 BHK,SoineC ,2249.81 - 4112.19,4.0,0.0,260.5,12.9
3175,Built-up  Area,Ready To Move,Uttarahalli,3 BHK,Unknown,1250,2.0,1.0,55.0,12.9
3176,Super built-up  Area,Ready To Move,Kanakapura,3 BHK,SPavenc,1290,3.0,3.0,45.15,47.7
3177,Super built-up  Area,Ready To Move,Ambedkar Nagar,2 BHK,SoechHa,1424,2.0,2.0,90.0,18.9
3178,Super built-up  Area,Ready To Move,Garudachar Palya,3 BHK,Unknown,1320,2.0,2.0,60.6,11.9
3179,Built-up  Area,Ready To Move,Akshaya Nagar,3 BHK,DLhtsnd,1662,3.0,2.0,85.5,13.8
3180,Super built-up  Area,Ready To Move,Shanthala Nagar,5 BHK,Kierser,8321,5.0,3.0,2700.0,2.0
3181,Super built-up  Area,Ready To Move,Begur Road,2 BHK,Dhalsh ,1200,2.0,2.0,45.0,10.8
3182,Built-up  Area,Ready To Move,Koramangala,3 BHK,Jalonht,1975,3.0,1.5817572892040976,210.0,8.3
3183,Super built-up  Area,Ready To Move,Garudachar Palya,3 BHK,Unknown,1295,2.0,2.0,59.5,11.9
3184,Super built-up  Area,Ready To Move,Battarahalli,3 BHK,PaontWa,1777,3.0,2.0,100.0,12.9
3185,Super built-up  Area,18-Apr,Kadugodi,3 BHK,Unknown,1900,3.0,1.5817572892040976,108.0,18.7
3186,Super built-up  Area,17-Jul,Anandapura,3 BHK,ViensRK,1576,3.0,2.0,59.1,12.4
3187,Super built-up  Area,Ready To Move,Sompura,2 BHK,Unknown,1020,2.0,3.0,41.0,26.5
3188,Super built-up  Area,Ready To Move,Green Domain Layout,3 BHK,Unknown,2100,3.0,3.0,170.0,17.3
3189,Super built-up  Area,18-Aug,Raja Rajeshwari Nagar,1 BHK,Prllsan,648,1.0,1.0,31.75,15.3
3190,Super built-up  Area,Ready To Move,Neeladri Nagar,3 BHK,AdingSV,1167,2.0,1.0,38.0,20.4
3191,Plot  Area,Ready To Move,Vyalikaval,7 Bedroom,Unknown,1000,7.0,3.0,160.0,17.3
3192,Super built-up  Area,Ready To Move,Hoodi,2 BHK,Unknown,1220,2.0,2.0,50.89,13.3
3193,Super built-up  Area,Ready To Move,Kogilu,3 BHK,Leora E,2350,5.0,1.0,327.0,19.6
3194,Super built-up  Area,Ready To Move,Vittasandra,2 BHK,Unknown,1259,2.0,1.0,67.4,17.5
3195,Built-up  Area,Ready To Move,Gottigere,4 Bedroom,Unknown,2000,4.0,2.0,82.0,15.2
3196,Super built-up  Area,Ready To Move,8th Phase JP Nagar,3 BHK,Unknown,1800,3.0,1.0,80.0,14.5
3197,Built-up  Area,Ready To Move,Cleveland Town,3 BHK,Coner C,1991,3.0,2.0,160.0,17.3
3198,Super built-up  Area,Ready To Move,Bannerghatta,3 BHK,Unknown,1665,3.0,3.0,110.0,20.4
3199,Built-up  Area,20-Dec,"Hoodi Circle, ",2 BHK,Unknown,1234,2.0,1.0,61.0,13.5
3200,Super built-up  Area,Ready To Move,Mysore Road,3 BHK,Unknown,1340,2.0,2.0,64.31,28.6
3201,Super built-up  Area,Ready To Move,Banashankari,2 BHK,Unknown,1170,2.0,2.0,46.79,11.2
3202,Built-up  Area,Ready To Move,Electronics City Phase 1,2 BHK,Unknown,995,2.0,0.0,46.0,20.3
3203,Super built-up  Area,Ready To Move,Old Airport Road,2 BHK,Unknown,1075,2.0,2.0,60.0,9.9
3204,Super built-up  Area,18-Apr,Electronic City,2 BHK,Unknown,1025,2.0,1.0,54.5,18.1
3205,Super built-up  Area,Ready To Move,Rachenahalli,3 BHK,NRodsen,2721,3.0,2.0,113.0,13.0
3206,Super built-up  Area,Ready To Move,Thanisandra,3 BHK,Bhmesy ,2000,3.0,2.0,99.0,11.5
3207,Super built-up  Area,Ready To Move,Whitefield,4 BHK,Sanne E,2500,4.0,3.0,155.0,17.3
3208,Super built-up  Area,Ready To Move,Mallasandra,2 BHK,GMilse ,1325,2.0,2.0,70.0,18.4
3209,Super built-up  Area,18-Apr,Kadugodi,2 BHK,Alestrb,1314,2.0,3.0,68.2,18.7
3210,Super built-up  Area,21-Feb,Kanakpura Road,3 BHK,Unknown,2265,3.0,2.0,136.0,26.5
3211,Built-up  Area,Ready To Move,7th Phase JP Nagar,7 Bedroom,Unknown,4800,7.0,0.0,170.0,11.0
3212,Super built-up  Area,21-Dec,Yelahanka,2 BHK,Unknown,1026,2.0,1.0,41.0,20.8
3213,Built-up  Area,Ready To Move,Syndicate Bank Colony,3 BHK,Unknown,1200,3.0,2.0,66.0,17.3
3214,Built-up  Area,Ready To Move,Kada Agrahara,3 BHK,ARineha,2220,4.0,2.0,65.0,26.5
3215,Super built-up  Area,18-Sep,KR Puram,2 BHK,MCnexva,1070 - 1315,2.0,0.0,51.22,11.9
3216,Super built-up  Area,18-Dec,Hebbal,2 BHK,Mahosya,1420,2.0,1.0,99.39,11.1
3217,Super built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,Ceiti I,1888,4.0,1.0,95.0,17.2
3218,Super built-up  Area,18-May,JP Nagar,2 BHK,Shestut,1300,2.0,1.0,90.87,9.9
3219,Super built-up  Area,18-May,Rajaji Nagar,2 BHK,Pumesim,1216,2.0,0.0,97.16,9.6
3220,Plot  Area,19-Dec,"Off Sarjapur road, ",4 Bedroom,Unknown,3000,4.0,3.0,342.0,17.3
3221,Built-up  Area,Ready To Move,Begur,3 BHK,Unknown,1559,3.0,2.0,63.0,12.9
3222,Super built-up  Area,Ready To Move,Harlur,2 BHK,Prncyrn,1290,2.0,1.0,87.0,16.1
3223,Plot  Area,Ready To Move,M C Layout,6 Bedroom,Unknown,2400,6.0,1.5817572892040976,245.0,17.3
3224,Built-up  Area,18-Jun,Whitefield,1 BHK,Unknown,905,1.0,1.0,55.0,17.3
3225,Built-up  Area,Ready To Move,Nanjappa Layout,2 BHK,AnazaPl,1069,2.0,1.5817572892040976,55.0,17.3
3226,Super built-up  Area,19-Aug,Sarjapura - Attibele Road,2 BHK,Unknown,829,2.0,1.0,22.8,36.0
3227,Built-up  Area,Ready To Move,Koramangala,2 BHK,Proodt ,1900,2.0,1.0,200.0,8.3
3228,Built-up  Area,Ready To Move,Dodda Banaswadi,5 Bedroom,Unknown,3040Sq. Meter,5.0,1.0,140.0,8.5
3229,Built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,MJinele,1300,3.0,2.0,60.0,17.2
3230,Super built-up  Area,Ready To Move,Channasandra,2 BHK,Unm 2El,1115,2.0,1.0,33.45,19.6
3231,Super built-up  Area,Ready To Move,Rajaji Nagar,3 BHK,PhestOn,2409,3.0,2.0,360.0,9.6
3232,Super built-up  Area,Ready To Move,Ambedkar Nagar,3 BHK,SoechHa,2150,4.0,2.0,125.0,18.9
3233,Super built-up  Area,19-Mar,Marathahalli,3 BHK,Unezes ,1305,2.0,1.0,69.0,10.9
3234,Super built-up  Area,20-Dec,Kanakpura Road,2 BHK,GolusLi,1252,2.0,1.0,56.32,26.5
3235,Plot  Area,Ready To Move,Hosakerehalli,5 Bedroom,Unknown,2400,5.0,1.5817572892040976,250.0,13.4
3236,Plot  Area,18-Sep,Whitefield,2 Bedroom,Unknown,1200,2.0,1.0,46.13,17.3
3237,Built-up  Area,Ready To Move,Koramangala,3 BHK,Unknown,1750,3.0,1.0,130.0,8.3
3238,Super built-up  Area,Ready To Move,Electronic City Phase II,2 BHK,Assha A,545,1.0,1.0,35.0,19.3
3239,Plot  Area,Ready To Move,BEL Layout,2 Bedroom,Unknown,1375,2.0,1.0,105.0,17.3
3240,Super built-up  Area,Ready To Move,Subramanyapura,2 BHK,Chllsev,1313,2.0,2.0,66.5,16.0
3241,Plot  Area,Ready To Move,Attibele,4 Bedroom,Unknown,3640,4.0,1.0,275.0,31.8
3242,Super built-up  Area,20-Dec,Akshayanagara East,3 BHK,Unknown,1693,3.0,2.0,108.0,14.0
3243,Super built-up  Area,Ready To Move,JCR Layout,2 BHK,ARnamru,1160,2.0,1.0,41.75,14.5
3244,Plot  Area,Ready To Move,Sri Kanteshwara Nagar,3 Bedroom,Unknown,1200,3.0,0.0,200.0,17.3
3245,Super built-up  Area,Ready To Move,Subramanyapura,3 BHK,Mayne A,1255,2.0,2.0,79.0,16.0
3246,Plot  Area,Ready To Move,KR Puram,4 Bedroom,Unknown,1000,4.0,1.0,75.0,11.9
3247,Built-up  Area,Ready To Move,Bellari Road,2 BHK,Pralmat,900,2.0,1.0,45.0,16.1
3248,Super built-up  Area,Ready To Move,Yelahanka New Town,3 BHK,Cerasy ,1700,3.0,2.0,90.0,21.5
3249,Carpet  Area,Ready To Move,Indira Nagar,3 BHK,Gonorir,1875,3.0,1.0,180.0,3.7
3250,Carpet  Area,Ready To Move,Uttarahalli,3 BHK,Baveles,1700,3.0,2.0,88.0,12.9
3251,Super built-up  Area,Ready To Move,Harlur,3 BHK,Prncyrn,1749,3.0,2.0,115.0,16.1
3252,Plot  Area,Ready To Move,Dasanapura,2 Bedroom,Unknown,1500,3.0,1.0,65.0,29.2
3253,Super built-up  Area,Ready To Move,Varanasi,2 BHK,Unknown,1175,2.0,1.0,48.0,13.1
3254,Built-up  Area,Ready To Move,Akshaya Nagar,2 BHK,Unknown,1280,2.0,1.0,60.0,13.8
3255,Built-up  Area,Ready To Move,Abbaiah Reddy Layout,2 BHK,Krllael,1200,2.0,2.0,50.0,10.1
3256,Super built-up  Area,Ready To Move,Ramagondanahalli,3 BHK,DNeremo,1610,2.0,2.0,115.0,15.4
3257,Super built-up  Area,Ready To Move,Electronic City,2 BHK,GMown E,1070,2.0,1.0,46.0,18.1
3258,Plot  Area,Ready To Move,TC Palaya,2 Bedroom,Unknown,1200,2.0,0.0,66.0,12.2
3259,Super built-up  Area,19-Dec,9th Phase JP Nagar,2 BHK,Unknown,1127,2.0,1.0,50.0,15.8
3260,Built-up  Area,Ready To Move,Indira Nagar,2 BHK,VKvenas,1210,2.0,1.0,102.0,3.7
3261,Built-up  Area,Ready To Move,Jyothi Nagar,2 BHK,Unknown,600,2.0,1.0,23.0,17.3
3262,Super built-up  Area,Ready To Move,Thigalarapalya,4 BHK,Prtanha,4190,4.0,3.0,380.0,15.0
3263,Super built-up  Area,Ready To Move,Tata Nagar,2 BHK,Shensit,1364,2.0,2.0,70.0,14.2
3264,Super built-up  Area,Ready To Move,Whitefield,4 BHK,ArsiaEx,2268,3.0,0.0,146.0,17.3
3265,Super built-up  Area,Ready To Move,RK Layout 2nd Stage,3 BHK,Unknown,1150,2.0,2.0,77.5,17.3
3266,Super built-up  Area,Ready To Move,Tirumanahalli,2 BHK,Unknown,1146,2.0,1.0,39.5,17.3
3267,Built-up  Area,Ready To Move,Magadi Road,2 BHK,DSellil,1345,2.0,2.0,55.0,21.7
3268,Super built-up  Area,Ready To Move,Mylasandra,2 BHK,Laowsba,1110,2.0,2.0,41.0,15.2
3269,Built-up  Area,Ready To Move,Kengeri,2 BHK,VBvenal,750,2.0,1.0,36.0,22.5
3270,Built-up  Area,Ready To Move,Motappa Layout,2 BHK,Puodse ,1156,2.0,2.0,49.5,12.8
3271,Super built-up  Area,Ready To Move,Pattandur Agrahara,2 BHK,ARvasV ,1247,2.0,1.0,59.8,16.0
3272,Super built-up  Area,Ready To Move,Mangammanapalya,2 BHK,Unknown,1058,2.0,2.0,60.0,17.3
3273,Super built-up  Area,Ready To Move,Kaggalipura,2 BHK,Baowsig,950,2.0,1.0,48.0,32.9
3274,Super built-up  Area,Ready To Move,Vasanthapura,2 BHK,Unknown,420,2.0,0.0,35.0,14.0
3275,Plot  Area,Ready To Move,BTM 1st Stage,4 Bedroom,Unknown,600,2.0,2.0,90.0,7.4
3276,Super built-up  Area,21-Jun,Vijayanagar,3 BHK,Saityat,1520,2.0,1.0,103.0,11.1
3277,Super built-up  Area,Ready To Move,Marathahalli,2 BHK,Unknown,1215,2.0,2.0,58.86,10.9
3278,Built-up  Area,Ready To Move,Raghuvanahalli,1 BHK,Unknown,900,1.0,1.0,30.0,16.2
3279,Super built-up  Area,Ready To Move,Hennur Road,3 BHK,Samittv,2350,3.0,2.0,174.0,14.4
3280,Super built-up  Area,Ready To Move,Thanisandra,2 BHK,Unknown,1050,2.0,2.0,46.0,11.5
3281,Super built-up  Area,Ready To Move, Devarabeesana Halli,3 BHK,Sorisa ,1672,3.0,2.0,150.0,14.4
3282,Plot  Area,Ready To Move,Laggere,5 Bedroom,Unknown,2800,5.0,2.0,125.0,15.7
3283,Super built-up  Area,Ready To Move,MCECHS  layout,3 BHK,Unknown,1500,2.0,2.0,65.0,13.8
3284,Super built-up  Area,Ready To Move,Geddalahalli,2 BHK,Unknown,1400,2.0,2.0,65.0,11.6
3285,Plot  Area,18-May,Whitefield,4 Bedroom,Prtates,500Sq. Yards,4.0,2.0,378.0,17.3
3286,Built-up  Area,Ready To Move,8th Phase JP Nagar,4 Bedroom,Unknown,2700,4.0,2.0,130.0,14.5
3287,Super built-up  Area,18-May,Bommasandra,2 BHK,SSestth,920,2.0,1.0,37.46,21.7
3288,Plot  Area,18-Feb,Sarjapur  Road,3 Bedroom,Cetattu,1200,3.0,2.0,70.0,17.2
3289,Built-up  Area,Ready To Move,Brindavan Nagar,3 BHK,Mancy R,1250,3.0,2.0,139.0,17.3
3290,Super built-up  Area,18-Mar,Hosakerehalli,3 BHK,SoageHe,1817,4.0,1.5817572892040976,153.0,13.4
3291,Plot  Area,Ready To Move,Cooke Town,5 Bedroom,Unknown,2043,6.0,1.5817572892040976,375.0,5.4
3292,Super built-up  Area,Ready To Move,HSR Layout,2 BHK,NRosete,1140,2.0,2.0,46.0,10.5
3293,Built-up  Area,Ready To Move,Yelahanka,4 Bedroom,Unknown,4346,4.0,1.0,450.0,20.8
3294,Super built-up  Area,Ready To Move,Haralur Road,2 BHK,NRowse ,1464,2.0,2.0,56.0,14.9
3295,Super built-up  Area,Ready To Move,Ambedkar Colony,2 BHK,RMcesa ,1468,3.0,2.0,130.0,18.4
3296,Super built-up  Area,Ready To Move,Electronics City Phase 1,3 BHK,SNdri N,1555,2.0,1.0,82.0,20.3
3297,Plot  Area,Ready To Move,Munnekollal,6 Bedroom,Unknown,1200,4.0,2.0,110.0,12.4
3298,Built-up  Area,Ready To Move,Whitefield,2 BHK,SNadeAr,1150,2.0,0.0,55.0,17.3
3299,Super built-up  Area,19-Oct,Kadubeesanahalli,2 BHK,Unknown,970,2.0,1.0,35.0,13.0
3300,Super built-up  Area,18-May,Banashankari,4 BHK,Unknown,2500,4.0,3.0,95.0,11.2
3301,Super built-up  Area,Ready To Move,Seetharampalya,2 BHK,Mazler ,1166,2.0,1.0,53.0,13.1
3302,Plot  Area,Ready To Move,Konanakunte,3 Bedroom,Prasa W,2779,3.0,1.0,317.0,13.8
3303,Super built-up  Area,Ready To Move,Electronic City,3 BHK,Palleon,1350,3.0,2.0,58.0,18.1
3304,Built-up  Area,Ready To Move,Mariyannapalya,2 BHK,Unknown,900,2.0,3.0,46.0,17.3
3305,Super built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,Unknown,1300,2.0,2.0,52.0,11.0
3306,Built-up  Area,Ready To Move,Kanaka Nagar,3 BHK,SoersTo,1190,3.0,1.0,55.0,12.0
3307,Super built-up  Area,Ready To Move,Kodichikkanahalli,3 BHK,Suntsan,1495,2.0,2.0,75.0,11.3
3308,Built-up  Area,Ready To Move,Indira Nagar,2 BHK,Riousd ,1224,2.0,2.0,105.0,3.7
3309,Super built-up  Area,Ready To Move,Banashankari Stage III,3 BHK,Mandsi ,1350,2.0,2.0,68.0,11.2
3310,Built-up  Area,Ready To Move,Green Glen Layout,2 BHK,Mazzo P,940,2.0,1.0,56.8,16.9
3311,Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2 BHK,DwntsAp,1100,2.0,1.0,55.0,15.3
3312,Super built-up  Area,Ready To Move,Kaikondrahalli,2 BHK,Sheurre,1300,2.0,2.0,61.0,15.3
3313,Built-up  Area,Ready To Move,Palace Road,3 BHK,Unknown,1480,2.0,0.0,145.0,17.3
3314,Super built-up  Area,Ready To Move,Hoodi,2 BHK,Unknown,1105,2.0,2.0,46.37,13.3
3315,Plot  Area,17-Jun,Sarjapur  Road,3 Bedroom,AztheBr,2600,3.0,2.0,200.0,17.2
3316,Super built-up  Area,21-Mar,Yelahanka,3 BHK,Goues A,1517,3.0,2.0,76.3,20.8
3317,Built-up  Area,Ready To Move,Horamavu Banaswadi,6 Bedroom,Unknown,3800,8.0,0.0,200.0,9.9
3318,Super built-up  Area,Ready To Move,Jalahalli,3 BHK,Unknown,1615,3.0,2.0,89.75,16.6
3319,Super built-up  Area,Ready To Move,MCECHS  layout,3 BHK,Unknown,1500,3.0,2.0,65.0,13.8
3320,Super built-up  Area,Ready To Move,Mysore Road,3 BHK,Unknown,1082,3.0,1.0,50.5,28.6
3321,Super built-up  Area,Ready To Move,Marathahalli,2 BHK,Vaoodar,1365,2.0,2.0,73.0,10.9
3322,Super built-up  Area,Ready To Move,Electronic City,2 BHK,Itelaa ,1000,2.0,3.0,25.0,18.1
3323,Super built-up  Area,Ready To Move,CV Raman Nagar,2 BHK,Pu270a ,1392,2.0,1.0,98.0,7.2
3324,Super built-up  Area,18-Apr,Kodigehalli,2 BHK,Unknown,1086,2.0,1.0,33.66,15.8
3325,Super built-up  Area,Ready To Move,Hennur Road,3 BHK,ChionCo,1586,3.0,3.0,93.94,14.4
3326,Built-up  Area,Ready To Move,Hennur,2 BHK,Unknown,1100,2.0,1.0,60.0,10.0
3327,Super built-up  Area,18-May,Electronic City Phase II,2 BHK,Sryalan,1065,2.0,1.0,30.75,19.3
3328,Plot  Area,Ready To Move,TC Palaya,3 Bedroom,Unknown,1500,2.0,1.0,120.0,12.2
